iter	RMSE
0	0.1925493429
1	0.1917857212
2	0.1910827438
3	0.1905355629
4	0.18961556
5	0.1888795485
6	0.1883941514
7	0.1873641406
8	0.186376338
9	0.1858731127
10	0.1849066824
11	0.184439186
12	0.1832964729
13	0.1823001797
14	0.1817239185
15	0.1808145435
16	0.1802839401
17	0.1795319578
18	0.17859914
19	0.1780201308
20	0.1771549218
21	0.1765237515
22	0.1761225262
23	0.1750560507
24	0.1744254822
25	0.1734740438
26	0.1727641371
27	0.1719929763
28	0.1710515657
29	0.1704256448
30	0.1700915392
31	0.1694692188
32	0.1684750628
33	0.167816411
34	0.1671589589
35	0.1662539826
36	0.165645155
37	0.1646581986
38	0.1637405093
39	0.1626824078
40	0.1621824621
41	0.1610981623
42	0.1605942722
43	0.1600999329
44	0.1591061557
45	0.1582084414
46	0.1575893289
47	0.1571132331
48	0.1560680756
49	0.1556409059
50	0.1548679544
51	0.1541162219
52	0.1537352378
53	0.1534679291
54	0.1530884238
55	0.1529479118
56	0.1520761325
57	0.1512506257
58	0.1508223898
59	0.1503590509
60	0.1495718816
61	0.1488745054
62	0.1482168714
63	0.1475057999
64	0.1468077095
65	0.1465280587
66	0.1459284349
67	0.1453052626
68	0.144493457
69	0.143587295
70	0.1427837625
71	0.1421974235
72	0.1420025221
73	0.1411244888
74	0.1407993446
75	0.1406345663
76	0.1398744142
77	0.1396313725
78	0.1388988959
79	0.1383456833
80	0.1377885537
81	0.1373238057
82	0.13660371
83	0.1359579646
84	0.1355421621
85	0.1348983399
86	0.1342792458
87	0.133623985
88	0.1333672024
89	0.1331560162
90	0.1326955101
91	0.1320994408
92	0.1314749255
93	0.1307997711
94	0.1300974837
95	0.129472429
96	0.1289738157
97	0.1286102285
98	0.1279924745
99	0.1277692738
100	0.1276353637
101	0.1275249812
102	0.1273958269
103	0.1269957698
104	0.1264634935
105	0.1261370854
106	0.1256463064
107	0.1249839911
108	0.1246299147
109	0.1245196226
110	0.1239073732
111	0.1235487091
112	0.1229573886
113	0.1228328166
114	0.1226465859
115	0.1225344204
116	0.1224468953
117	0.1219284266
118	0.1214864054
119	0.1210566851
120	0.1207778956
121	0.1206883351
122	0.1200979969
123	0.1197116894
124	0.1192010892
125	0.1188654476
126	0.1183135947
127	0.1182245809
128	0.1177209412
129	0.1171829998
130	0.1169396365
131	0.1168534575
132	0.1167668547
133	0.116455057
134	0.1159224294
135	0.1155217593
136	0.1150715624
137	0.1147659365
138	0.1143041496
139	0.1140514098
140	0.1139937102
141	0.1135488082
142	0.1132001599
143	0.1127886533
144	0.1123556348
145	0.1120511573
146	0.1119588869
147	0.1118897577
148	0.1115120508
149	0.1111297413
150	0.1109833274
151	0.1105427699
152	0.1103531257
153	0.1100844185
154	0.1098397657
155	0.1097536493
156	0.1094790813
157	0.1093242149
158	0.1092631833
159	0.1089657326
160	0.1085896494
161	0.1082211519
162	0.1079272024
163	0.1077208925
164	0.1074032153
165	0.1071986203
166	0.1068106972
167	0.1066148484
168	0.1063989312
169	0.1060172615
170	0.1056984707
171	0.1055410621
172	0.1055045202
173	0.1053177019
174	0.104937847
175	0.1047069009
176	0.1043803331
177	0.1040997352
178	0.1037767848
179	0.1034899244
180	0.1034172892
181	0.1031928714
182	0.1029270658
183	0.1026124262
184	0.1023152798
185	0.1021084442
186	0.1017895334
187	0.1015513508
188	0.1013903715
189	0.1013423574
190	0.1011024143
191	0.1008612334
192	0.1008078903
193	0.1006643064
194	0.1005542766
195	0.1003602161
196	0.1000599325
197	0.09995576419
198	0.09977441821
199	0.09946641457
200	0.09931846907
201	0.09904760935
202	0.09871605135
203	0.09852643361
204	0.09821798731
205	0.09795124158
206	0.09767389374
207	0.09758643204
208	0.09737938231
209	0.09717373982
210	0.09709716546
211	0.09678295083
212	0.09659577598
213	0.0965330942
214	0.09633302541
215	0.09610486011
216	0.09582429972
217	0.09567200625
218	0.09537312082
219	0.09513226353
220	0.09508767551
221	0.09493555765
222	0.09473964492
223	0.09458407126
224	0.09434854096
225	0.09411496161
226	0.09407459766
227	0.09394198498
228	0.09362647196
229	0.09356219899
230	0.0934501774
231	0.09323691597
232	0.09310811366
233	0.09293595845
234	0.09289637876
235	0.09272923339
236	0.09244067666
237	0.09241202722
238	0.09219728967
239	0.09200381542
240	0.09185279357
241	0.09162424677
242	0.09159330557
243	0.09141401004
244	0.09127760769
245	0.0911398115
246	0.09102561723
247	0.09081428571
248	0.09063029411
249	0.09052736569
250	0.09035166283
251	0.09020020239
252	0.08997867766
253	0.08983805
254	0.08976130438
255	0.08955864757
256	0.08939051973
257	0.08923231849
258	0.08907997651
259	0.08895810754
260	0.08883221692
261	0.08875868613
262	0.08861924068
263	0.08842608988
264	0.08838865688
265	0.08827204006
266	0.08816645737
267	0.0881236483
268	0.08795035954
269	0.08791522828
270	0.08787279929
271	0.0876924868
272	0.0876618573
273	0.08762907144
274	0.08743028418
275	0.08720089646
276	0.08717833931
277	0.08695876017
278	0.08677416703
279	0.08666745269
280	0.08651662125
281	0.08638601147
282	0.08621190221
283	0.08612193776
284	0.08597822293
285	0.08587168771
286	0.08570293323
287	0.08567548042
288	0.085577989
289	0.08541534629
290	0.08534032505
291	0.08520637883
292	0.08506974316
293	0.08498053119
294	0.08495470463
295	0.08475966316
296	0.08464340833
297	0.08448975282
298	0.08446254223
299	0.08435359786
300	0.08425343613
301	0.08415771291
302	0.08411973376
303	0.08401532145
304	0.08389843619
305	0.0837827394
306	0.08360590688
307	0.08346811586
308	0.08337967222
309	0.08326243212
310	0.08323988297
311	0.08311173836
312	0.08300020315
313	0.08296077451
314	0.08293577125
315	0.0828012217
316	0.08277752369
317	0.08262113974
318	0.08255143839
319	0.08247833151
320	0.08230337862
321	0.08219834727
322	0.08212130157
323	0.08209462308
