iter	Passed	Remaining
0	14	21207
1	27	20659
2	41	20688
3	55	20707
4	68	20473
5	81	20173
6	93	19892
7	105	19741
8	117	19501
9	129	19331
10	142	19225
11	153	19036
12	165	18917
13	177	18824
14	189	18771
15	201	18665
16	213	18594
17	224	18515
18	236	18459
19	248	18390
20	259	18307
21	271	18271
22	283	18218
23	295	18195
24	307	18130
25	318	18060
26	330	18026
27	341	17977
28	353	17924
29	364	17880
30	376	17830
31	387	17791
32	399	17754
33	410	17721
34	422	17675
35	433	17628
36	444	17585
37	455	17539
38	467	17509
39	479	17485
40	490	17446
41	501	17422
42	513	17395
43	524	17360
44	536	17332
45	547	17314
46	559	17289
47	570	17264
48	581	17233
49	594	17227
50	606	17232
51	618	17220
52	629	17195
53	641	17172
54	652	17141
55	664	17122
56	675	17099
57	687	17083
58	698	17055
59	709	17034
60	721	17017
61	732	16998
62	744	16982
63	756	16973
64	769	16996
65	780	16965
66	792	16953
67	804	16934
68	815	16907
69	826	16892
70	838	16867
71	849	16842
72	860	16828
73	872	16813
74	883	16786
75	895	16771
76	906	16748
77	917	16725
78	928	16708
79	940	16692
80	951	16672
81	963	16654
82	974	16642
83	986	16633
84	997	16611
85	1009	16592
86	1021	16582
87	1032	16563
88	1043	16545
89	1054	16526
90	1066	16507
91	1077	16494
92	1089	16486
93	1101	16472
94	1112	16454
95	1124	16447
96	1136	16431
97	1147	16411
98	1158	16395
99	1169	16378
100	1180	16357
101	1192	16341
102	1203	16329
103	1215	16310
104	1226	16294
105	1237	16280
106	1249	16267
107	1261	16256
108	1272	16242
109	1284	16227
110	1295	16212
111	1306	16197
112	1318	16186
113	1329	16166
114	1340	16149
115	1352	16135
116	1363	16122
117	1375	16114
118	1387	16098
119	1398	16080
120	1409	16067
121	1421	16055
122	1432	16042
123	1444	16025
124	1456	16018
125	1468	16009
126	1479	15992
127	1490	15978
128	1502	15967
129	1513	15953
130	1525	15941
131	1536	15927
132	1548	15912
133	1559	15898
134	1571	15886
135	1582	15875
136	1594	15865
137	1606	15851
138	1617	15835
139	1628	15818
140	1640	15808
141	1651	15793
142	1662	15776
143	1674	15767
144	1686	15758
145	1697	15743
146	1709	15731
147	1720	15717
148	1732	15705
149	1743	15691
150	1754	15678
151	1766	15667
152	1778	15655
153	1789	15644
154	1801	15632
155	1812	15617
156	1824	15609
157	1836	15596
158	1847	15579
159	1858	15566
160	1870	15556
161	1881	15541
162	1893	15528
163	1904	15514
164	1915	15499
165	1927	15487
166	1938	15476
167	1950	15463
168	1961	15448
169	1972	15435
170	1985	15427
171	1996	15411
172	2008	15406
173	2020	15394
174	2031	15381
175	2043	15372
176	2054	15358
177	2066	15345
178	2077	15335
179	2089	15326
180	2101	15314
181	2112	15300
182	2124	15287
183	2135	15276
184	2147	15263
185	2158	15251
186	2170	15242
187	2182	15231
188	2194	15218
189	2205	15207
190	2217	15195
191	2228	15184
192	2240	15173
193	2252	15161
194	2263	15148
195	2275	15139
196	2287	15130
197	2298	15115
198	2310	15104
199	2322	15095
200	2334	15084
201	2345	15071
202	2357	15062
203	2369	15051
204	2380	15039
205	2392	15027
206	2403	15015
207	2415	15002
208	2426	14989
209	2438	14976
210	2449	14963
211	2460	14951
212	2473	14942
213	2484	14930
214	2496	14920
215	2508	14911
216	2520	14902
217	2531	14888
218	2543	14878
219	2555	14867
220	2566	14853
221	2578	14841
222	2589	14827
223	2601	14818
224	2612	14804
225	2624	14796
226	2636	14786
227	2648	14777
228	2660	14765
229	2671	14753
230	2683	14742
231	2695	14733
232	2707	14724
233	2719	14714
234	2732	14707
235	2744	14697
236	2756	14688
237	2768	14682
238	2781	14673
239	2793	14663
240	2805	14656
241	2817	14648
242	2829	14638
243	2842	14633
244	2855	14625
245	2867	14618
246	2879	14608
247	2892	14601
248	2904	14591
249	2916	14581
250	2928	14572
251	2940	14562
252	2952	14552
253	2964	14541
254	2975	14528
255	2987	14517
256	2999	14508
257	3011	14497
258	3022	14484
259	3034	14474
260	3046	14462
261	3057	14448
262	3069	14435
263	3080	14423
264	3092	14411
265	3103	14399
266	3115	14386
267	3126	14373
268	3138	14361
269	3150	14351
270	3161	14337
271	3173	14326
272	3185	14315
273	3196	14303
274	3208	14290
275	3220	14280
276	3231	14268
277	3243	14256
278	3255	14245
279	3266	14233
280	3278	14221
281	3289	14209
282	3301	14199
283	3313	14188
284	3325	14177
285	3337	14165
286	3348	14153
287	3360	14140
288	3372	14130
289	3384	14120
290	3396	14109
291	3408	14101
292	3421	14093
293	3433	14083
294	3445	14072
295	3458	14065
296	3470	14057
297	3483	14049
298	3495	14042
299	3508	14032
300	3520	14022
301	3532	14012
302	3544	14002
303	3556	13993
304	3569	13984
305	3581	13974
306	3593	13963
307	3605	13955
308	3618	13945
309	3630	13936
310	3642	13925
311	3654	13916
312	3667	13907
313	3679	13897
314	3691	13887
315	3704	13878
316	3716	13869
317	3729	13861
318	3740	13849
319	3753	13839
320	3765	13829
321	3777	13819
322	3789	13809
323	3801	13798
324	3813	13788
325	3826	13778
326	3838	13768
327	3850	13758
328	3862	13747
329	3874	13736
330	3886	13727
331	3899	13718
332	3911	13707
333	3923	13695
334	3935	13686
335	3948	13677
336	3960	13666
337	3972	13656
338	3984	13644
339	3996	13634
340	4008	13624
